Score,Location Name,Page Title,Longitude,Latitude
22.43595285671115,California,"18 Best Christmas Towns In California To Visit In 2025 + Christmas Markets, Places To Go – Travel With Me 24 X 7",-118.755997,36.7014631
19.735260522118338,North Carolina,12 Best Christmas Towns In North Carolina To Visit In 2025 + Christmas Markets &amp; Mass – Travel With Me 24 X 7,-79.0392919,35.6729639
17.832303880293924,Europe,The Most Underrated Destinations in Europe You Should Visit – Mark's Travel Journal,10.0,51.0
17.30159049419479,Maryland,Maryland Road Trip Itinerary - Best Things To Do in Maryland – Travel With Me 24 X 7,-76.9382069,39.5162401
17.28233185903169,Sonoma,"Perfect Sonoma Itinerary 3 Days - Best Things to do In Sonoma, California – Travel With Me 24 X 7",-122.8473388,38.5110803
17.077495377310342,Maine,Best Maine Beach Towns for Summer Fun and Adventure,-68.8590201,45.709097
16.72644552318659,Boston,Best Day Trips from Boston: A Local's Guide to New England,-71.060511,42.3554334
16.627176717741925,Boston,10 Cute Towns near Boston - Best Small Towns to Visit near Boston – Travel With Me 24 X 7,-71.060511,42.3554334
16.52472942548271,Oregon Coast,Best Oregon Coast Road Trip - 5-Day Oregon Coast Itinerary – Travel With Me 24 X 7,151.471572,-33.2487066
16.304482913964634,Tennessee,15 Best Christmas Towns In Tennessee To Visit In 2025 With Festive Events + Markets + Mass – Travel With Me 24 X 7,-86.2820081,35.7730076
16.297987039956297,US,Plan Northeast USA Road Trip - Best Places to Visit in Northeast US – Travel With Me 24 X 7,-100.445882,39.7837304
16.270789078166562,San Francisco,"10 Cute Towns Near San Francisco - Best Cities Near San Francisco, California – Travel With Me 24 X 7",-122.4193286,37.7792588
15.862452085059786,Houston,10 Best Road Trips from Houston- Perfect Weekend Getaways – Travel With Me 24 X 7,-95.3676974,29.7589382
15.775850880560018,Santa Barbara,Best Day Trips From Santa Barbara California – Travel With Me 24 X 7,-119.702667,34.4221319
15.706637752503742,Oregon,5 Magical Christmas Towns in Oregon to Visit in 2025 - Best Things To Do – Travel With Me 24 X 7,-120.737257,43.9792797
15.680831266887106,San Francisco,"7 Best Beaches near San Francisco - Things To Do, Scenic Spot &amp; Pet Policies – Travel With Me 24 X 7",-122.4193286,37.7792588
15.551092330300179,San Francisco,Ultimate San Francisco to Seattle Drive - Best Things to do – Travel With Me 24 X 7,-122.4193286,37.7792588
15.452212926550693,France,French Christmas markets in the Alsace - Travel with Wendy,1.8883335,46.603354
15.044624131718393,London,England Scotland Itinerary 10 Days - Best of London and Scotland Tour – Travel With Me 24 X 7,-0.1277653,51.5074456
14.894442477837314,Maine,The Best of Summer in Maine: 50 Things to Do Outside in Maine,-68.8590201,45.709097
14.743278972411584,India,India a Must Trip - The Women's Travel Group,78.6677428,22.3511148
14.492219178056928,Vermont,Vermont Road Trip - Best Places to Visit in Vermont – Travel With Me 24 X 7,-72.5002608,44.5990718
14.458841877769444,Nashville,Christmas In Nashville 2025 - Nashville Christmas Vacation Planner + Best Activities – Travel With Me 24 X 7,-86.7742984,36.1622767
14.383234514740728,Germany,My Favorite Faschings! - Travel with Wendy German Festival,10.4478313,51.1638175
14.379670065237177,Norway,Discover the Beauty of Fjords in Norway by Road – Mark's Travel Journal,8.7876653,61.1529386
